G	Date	Type		Opponent	Conf		Tm	Opp	OT	W	L	Streak	Arena	opponent_bbref_id	team	year
16	Wed, Jan 13, 2010	REG		Brigham Young (18)	MWC	L	49	67		8	8	L 3	Clune Arena 	ces/mwc	air-force	2010
17	Wed, Jan 20, 2010	REG		New Mexico	MWC	L	50	73		8	9	L 4	Clune Arena 	ces/mwc	air-force	2010
18	Sat, Jan 23, 2010	REG	@	Utah	MWC	L	54	71		8	10	L 5	Jon M. Huntsman Center	ces/mwc	air-force	2010
19	Tue, Jan 26, 2010	REG	@	Nevada-Las Vegas	MWC	L	50	60		8	11	L 6	Thomas & Mack Center	ces/mwc	air-force	2010
20	Sat, Jan 30, 2010	REG		Wyoming	MWC	W	70	63		9	11	W 1	Clune Arena 	ces/mwc	air-force	2010
21	Tue, Feb 2, 2010	REG	@	San Diego State	MWC	L	48	70		9	12	L 1	Viejas Arena	ces/mwc	air-force	2010
22	Sat, Feb 6, 2010	REG		Texas Christian	MWC	L	51	65		9	13	L 2	Clune Arena 	ces/mwc	air-force	2010
23	Tue, Feb 9, 2010	REG		Colorado State	MWC	L	47	51		9	14	L 3	Clune Arena 	ces/mwc	air-force	2010
24	Sat, Feb 13, 2010	REG	@	Brigham Young (17)	MWC	L	48	91		9	15	L 4	Marriott Center	ces/mwc	air-force	2010
25	Sat, Feb 20, 2010	REG	@	New Mexico (12)	MWC	L	56	59		9	16	L 5	The Pit/Bob King Court	ces/mwc	air-force	2010
26	Wed, Feb 24, 2010	REG		Utah	MWC	L	43	54		9	17	L 6	Clune Arena 	ces/mwc	air-force	2010
27	Sat, Feb 27, 2010	REG		Nevada-Las Vegas	MWC	L	47	77		9	18	L 7	Clune Arena 	ces/mwc	air-force	2010
28	Tue, Mar 2, 2010	REG	@	Wyoming	MWC	L	49	58		9	19	L 8	Arena-Auditorium	ces/mwc	air-force	2010
29	Sat, Mar 6, 2010	REG		San Diego State	MWC	L	42	61		9	20	L 9	Clune Arena 	ces/mwc	air-force	2010
30	Wed, Mar 10, 2010	CTOURN	N	Wyoming	MWC	W	59	40		10	20	W 1	Thomas & Mack Center	ces/mwc	air-force	2010
31	Thu, Mar 11, 2010	CTOURN	N	New Mexico (8)	MWC	L	69	75		10	21	L 1	Thomas & Mack Center	ces/mwc	air-force	2010
1	Sun, Nov 15, 2009	REG		Austin Peay	OVC	L	77	80		0	1	L 1	James A. Rhodes Arena	ces/ovc	akron	2010
2	Fri, Nov 20, 2009	REG	N	North Carolina State	ACC	L	45	66		0	2	L 2	Ocean Center	ces/acc	akron	2010
3	Sat, Nov 21, 2009	REG	N	Drake	MVC	W	63	59		1	2	W 1	Ocean Center	ces/mvc	akron	2010
4	Sun, Nov 22, 2009	REG	N	Howard	MEAC	W	69	52		2	2	W 2	Ocean Center	ces/meac	akron	2010
5	Fri, Nov 27, 2009	REG		Arkansas-Pine Bluff	SWAC	W	68	65		3	2	W 3	James A. Rhodes Arena	ces/swac	akron	2010
6	Sun, Nov 29, 2009	REG		Niagara	MAAC	W	80	68		4	2	W 4	James A. Rhodes Arena	ces/maac	akron	2010
7	Fri, Dec 4, 2009	REG	@	Texas A&M (19)	Big 12	L	62	74		4	3	L 1	Reed Arena	ces/big-12	akron	2010
8	Sat, Dec 12, 2009	REG		Malone		W	62	30		5	3	W 1	James A. Rhodes Arena	NA	akron	2010
9	Fri, Dec 18, 2009	REG		North Carolina-Greensboro	Southern	W	83	59		6	3	W 2	James A. Rhodes Arena	ces/southern	akron	2010
10	Sun, Dec 20, 2009	REG		Saint Francis (PA)	NEC	W	80	51		7	3	W 3	James A. Rhodes Arena	ces/northeast	akron	2010
11	Tue, Dec 22, 2009	REG		Illinois-Chicago	Horizon	W	77	65		8	3	W 4	James A. Rhodes Arena	ces/horizon	akron	2010
12	Sun, Dec 27, 2009	REG		Valparaiso	Horizon	W	77	57		9	3	W 5	James A. Rhodes Arena	ces/horizon	akron	2010
13	Wed, Dec 30, 2009	REG	@	Wyoming	MWC	W	85	76		10	3	W 6	Arena-Auditorium	ces/mwc	akron	2010
14	Tue, Jan 5, 2010	REG		Rhode Island	A-10	L	63	68		10	4	L 1	James A. Rhodes Arena	ces/atlantic-10	akron	2010
15	Sat, Jan 9, 2010	REG		Bowling Green State	MAC	W	71	45		11	4	W 1	James A. Rhodes Arena	ces/mac	akron	2010
16	Wed, Jan 13, 2010	REG	@	Ohio	MAC	W	67	62		12	4	W 2	Convocation Center	ces/mac	akron	2010
17	Sun, Jan 17, 2010	REG	@	Buffalo	MAC	L	65	78		12	5	L 1	Alumni Arena	ces/mac	akron	2010
18	Wed, Jan 20, 2010	REG		Miami (OH)	MAC	W	69	49		13	5	W 1	James A. Rhodes Arena	ces/mac	akron	2010
19	Sat, Jan 23, 2010	REG	@	Kent State	MAC	L	70	87		13	6	L 1	Memorial Athletic & Convocation Center	ces/mac	akron	2010
20	Wed, Jan 27, 2010	REG	@	Western Michigan	MAC	W	79	70		14	6	W 1	University Arena	ces/mac	akron	2010
21	Sat, Jan 30, 2010	REG		Toledo	MAC	W	59	45		15	6	W 2	James A. Rhodes Arena	ces/mac	akron	2010
22	Mon, Feb 1, 2010	REG		Eastern Michigan	MAC	L	59	62		15	7	L 1	James A. Rhodes Arena	ces/mac	akron	2010
23	Wed, Feb 3, 2010	REG		Northern Illinois	MAC	W	90	76		16	7	W 1	James A. Rhodes Arena	ces/mac	akron	2010
24	Sat, Feb 6, 2010	REG	@	Ball State	MAC	W	75	70	OT	17	7	W 2	Worthen Arena	ces/mac	akron	2010
25	Tue, Feb 9, 2010	REG	@	Central Michigan	MAC	W	56	52		18	7	W 3	Rose Arena	ces/mac	akron	2010
26	Sun, Feb 14, 2010	REG		Ohio	MAC	W	91	88	2OT	19	7	W 4	James A. Rhodes Arena	ces/mac	akron	2010
27	Wed, Feb 17, 2010	REG	@	Miami (OH)	MAC	W	61	56		20	7	W 5	Millett Hall	ces/mac	akron	2010
28	Sat, Feb 20, 2010	REG	@	Virginia Commonwealth	CAA	L	53	70		20	8	L 1	Alltel Pavilion at the Stuart C. Siegel Center	ces/colonial	akron	2010
29	Wed, Feb 24, 2010	REG		Buffalo	MAC	W	77	67		21	8	W 1	James A. Rhodes Arena	ces/mac	akron	2010
30	Sat, Feb 27, 2010	REG	@	Bowling Green State	MAC	W	74	68		22	8	W 2	Anderson Arena	ces/mac	akron	2010
31	Fri, Mar 5, 2010	REG		Kent State	MAC	L	61	74		22	9	L 1	James A. Rhodes Arena	ces/mac	akron	2010
32	Thu, Mar 11, 2010	CTOURN	N	Eastern Michigan	MAC	W	97	89	2OT	23	9	W 1	Quicken Loans Arena	ces/mac	akron	2010
33	Fri, Mar 12, 2010	CTOURN	N	Western Michigan	MAC	W	66	64		24	9	W 2	Quicken Loans Arena	ces/mac	akron	2010
34	Sat, Mar 13, 2010	CTOURN	N	Ohio	MAC	L	75	81	OT	24	10	L 1	Quicken Loans Arena	ces/mac	akron	2010
35	Wed, Mar 17, 2010	CBI		Green Bay	Horizon	L	66	70		24	11	L 2	James A. Rhodes Arena	ces/horizon	akron	2010
1	Sat, Nov 14, 2009	REG		Cornell	Ivy	L	67	71		0	1	L 1	Coleman Coliseum 	ces/ivy	alabama	2010
2	Tue, Nov 17, 2009	REG		Jackson State	SWAC	W	86	69		1	1	W 1	Coleman Coliseum 	ces/swac	alabama	2010
3	Fri, Nov 20, 2009	REG		Providence	Big East	W	84	75		2	1	W 2	Coleman Coliseum 	ces/big-east	alabama	2010
4	Thu, Nov 26, 2009	REG	N	Baylor	Big 12	W	79	76		3	1	W 3	The Milk House	ces/big-12	alabama	2010
5	Fri, Nov 27, 2009	REG	N	Florida State	ACC	L	51	60		3	2	L 1	The Milk House	ces/acc	alabama	2010
6	Sun, Nov 29, 2009	REG	N	Michigan (15)	Big Ten	W	68	66		4	2	W 1	The Milk House	ces/big-ten	alabama	2010
7	Wed, Dec 2, 2009	REG		North Florida	A-Sun	W	73	51		5	2	W 2	Coleman Coliseum 	ces/atlantic-sun	alabama	2010
8	Sat, Dec 5, 2009	REG		Louisiana-Monroe	Sun Belt	W	74	46		6	2	W 3	Coleman Coliseum 	ces/sun-belt	alabama	2010
9	Sat, Dec 12, 2009	REG		Purdue (5)	Big Ten	L	65	73		6	3	L 1	Coleman Coliseum 	ces/big-ten	alabama	2010
10	Wed, Dec 16, 2009	REG		Samford	Southern	W	60	45		7	3	W 1	Coleman Coliseum 	ces/southern	alabama	2010
11	Sat, Dec 19, 2009	REG	N	Kansas State (17)	Big 12	L	74	87		7	4	L 1	Mitchell Center	ces/big-12	alabama	2010
12	Wed, Dec 23, 2009	REG		Mercer	A-Sun	W	90	71		8	4	W 1	Coleman Coliseum 	ces/atlantic-sun	alabama	2010
13	Wed, Dec 30, 2009	REG		Tennessee State	OVC	W	77	65		9	4	W 2	Coleman Coliseum 	ces/ovc	alabama	2010
14	Mon, Jan 4, 2010	REG	@	Toledo	MAC	W	67	50		10	4	W 3	John F. Savage Hall	ces/mac	alabama	2010
15	Sat, Jan 9, 2010	REG	@	Louisiana State	SEC	W	66	49		11	4	W 4	Maravich Assembly Center	ces/sec	alabama	2010
16	Wed, Jan 13, 2010	REG		Vanderbilt	SEC	L	64	65		11	5	L 1	Coleman Coliseum 	ces/sec	alabama	2010
17	Sat, Jan 16, 2010	REG	@	Arkansas	SEC	L	59	71		11	6	L 2	Bud Walton Arena	ces/sec	alabama	2010
18	Tue, Jan 19, 2010	REG		Tennessee (8)	SEC	L	56	63		11	7	L 3	Coleman Coliseum 	ces/sec	alabama	2010
19	Sat, Jan 23, 2010	REG		Mississippi State (23)	SEC	W	62	57		12	7	W 1	Coleman Coliseum 	ces/sec	alabama	2010
20	Wed, Jan 27, 2010	REG		Louisiana State	SEC	W	57	38		13	7	W 2	Coleman Coliseum 	ces/sec	alabama	2010
21	Sat, Jan 30, 2010	REG	@	Auburn	SEC	L	57	58		13	8	L 1	Beard-Eaves-Memorial	ces/sec	alabama	2010
22	Thu, Feb 4, 2010	REG		Florida	SEC	L	65	66		13	9	L 2	Coleman Coliseum 	ces/sec	alabama	2010
23	Sat, Feb 6, 2010	REG	@	Mississippi (25)	SEC	L	67	74		13	10	L 3	C.M. Tad Smith Coliseum	ces/sec	alabama	2010
24	Tue, Feb 9, 2010	REG	@	Kentucky (3)	SEC	L	55	66		13	11	L 4	Rupp Arena	ces/sec	alabama	2010
25	Sat, Feb 13, 2010	REG		Arkansas	SEC	W	73	68		14	11	W 1	Coleman Coliseum 	ces/sec	alabama	2010
26	Sat, Feb 20, 2010	REG	@	Georgia	SEC	L	70	76		14	12	L 1	Stegeman Coliseum	ces/sec	alabama	2010
27	Wed, Feb 24, 2010	REG	@	Mississippi State	SEC	L	66	74		14	13	L 2	Humphrey Coliseum	ces/sec	alabama	2010
28	Sat, Feb 27, 2010	REG		Mississippi	SEC	L	73	76		14	14	L 3	Coleman Coliseum 	ces/sec	alabama	2010
29	Wed, Mar 3, 2010	REG	@	South Carolina	SEC	W	79	70		15	14	W 1	The Colonial Life Arena	ces/sec	alabama	2010
30	Sat, Mar 6, 2010	REG		Auburn	SEC	W	73	61		16	14	W 2	Coleman Coliseum 	ces/sec	alabama	2010
31	Thu, Mar 11, 2010	CTOURN	N	South Carolina	SEC	W	68	63		17	14	W 3	Bridgestone Arena	ces/sec	alabama	2010
32	Fri, Mar 12, 2010	CTOURN	N	Kentucky (2)	SEC	L	67	73		17	15	L 1	Bridgestone Arena	ces/sec	alabama	2010
1	Fri, Nov 13, 2009	REG	@	South Carolina	SEC	L	50	88		0	1	L 1	The Colonial Life Arena	ces/sec	alabama-am	2010
2	Mon, Nov 16, 2009	REG		Oakwood		W	86	81		1	1	W 1	Elmore Health Science Building 	NA	alabama-am	2010
3	Sat, Nov 21, 2009	REG		Martin Methodist		W	76	55		2	1	W 2	Elmore Health Science Building 	NA	alabama-am	2010
4	Mon, Nov 23, 2009	REG		Stillman		L	75	77		2	2	L 1	Elmore Health Science Building 	NA	alabama-am	2010
5	Tue, Dec 1, 2009	REG	N	Auburn	SEC	L	52	87		2	3	L 2	Von Braun Center	ces/sec	alabama-am	2010
6	Sat, Dec 5, 2009	REG		Tuskegee		W	73	51		3	3	W 1	Elmore Health Science Building 	NA	alabama-am	2010
7	Tue, Dec 15, 2009	REG	@	Tennessee State	OVC	L	77	80		3	4	L 1	Gentry Center Complex	ces/ovc	alabama-am	2010
8	Thu, Dec 31, 2009	REG	@	Florida State (22)	ACC	L	34	81		3	5	L 2	Donald L. Tucker Center	ces/acc	alabama-am	2010
9	Mon, Jan 4, 2010	REG	@	Jackson State	SWAC	L	60	71		3	6	L 3	Lee E. Williams Athletics and Assembly Center	ces/swac	alabama-am	2010
10	Wed, Jan 6, 2010	REG	@	Grambling	SWAC	L	62	64	OT	3	7	L 4	HPER Complex	ces/swac	alabama-am	2010
11	Sat, Jan 9, 2010	REG		Arkansas-Pine Bluff	SWAC	L	72	82		3	8	L 5	Elmore Health Science Building 	ces/swac	alabama-am	2010
12	Mon, Jan 11, 2010	REG		Mississippi Valley State	SWAC	W	72	56		4	8	W 1	Elmore Health Science Building 	ces/swac	alabama-am	2010
13	Sat, Jan 16, 2010	REG	@	Alabama State	SWAC	L	69	83		4	9	L 1	ASU Acadome	ces/swac	alabama-am	2010
14	Sat, Jan 23, 2010	REG	@	Southern	SWAC	W	70	63		5	9	W 1	F. G. Clark Activity Center	ces/swac	alabama-am	2010
15	Mon, Jan 25, 2010	REG	@	Alcorn State	SWAC	W	84	70		6	9	W 2	Davey L. Whitney Complex	ces/swac	alabama-am	2010
16	Sat, Jan 30, 2010	REG		Prairie View	SWAC	W	59	54		7	9	W 3	Elmore Health Science Building 	ces/swac	alabama-am	2010
17	Mon, Feb 1, 2010	REG		Texas Southern	SWAC	L	62	67		7	10	L 1	Elmore Health Science Building 	ces/swac	alabama-am	2010
18	Sat, Feb 6, 2010	REG	@	Arkansas-Pine Bluff	SWAC	L	55	62		7	11	L 2	K.L. Johnson HPER Complex	ces/swac	alabama-am	2010
19	Mon, Feb 8, 2010	REG	@	Mississippi Valley State	SWAC	W	77	69		8	11	W 1	Harrison HPER Complex	ces/swac	alabama-am	2010
20	Sat, Feb 13, 2010	REG		Alabama State	SWAC	L	76	80		8	12	L 1	Elmore Health Science Building 	ces/swac	alabama-am	2010
21	Sat, Feb 20, 2010	REG		Southern	SWAC	W	65	54		9	12	W 1	Elmore Health Science Building 	ces/swac	alabama-am	2010
22	Mon, Feb 22, 2010	REG		Alcorn State	SWAC	W	72	60		10	12	W 2	Elmore Health Science Building 	ces/swac	alabama-am	2010
23	Sat, Feb 27, 2010	REG	@	Prairie View	SWAC	L	53	62		10	13	L 1	William J. Nicks Building	ces/swac	alabama-am	2010
24	Mon, Mar 1, 2010	REG	@	Texas Southern	SWAC	L	57	98		10	14	L 2	Health & Physical Education Arena	ces/swac	alabama-am	2010
25	Thu, Mar 4, 2010	REG		Jackson State	SWAC	L	64	70		10	15	L 3	Elmore Health Science Building 	ces/swac	alabama-am	2010
26	Sat, Mar 6, 2010	REG		Grambling	SWAC	W	81	60		11	15	W 1	Elmore Health Science Building 	ces/swac	alabama-am	2010
27	Thu, Mar 11, 2010	CTOURN	N	Alabama State	SWAC	L	45	56		11	16	L 1	CenturyTel Center	ces/swac	alabama-am	2010
1	Fri, Nov 13, 2009	REG	N	Green Bay	Horizon	W	68	56		1	0	W 1	Memorial Athletic & Convocation Center	ces/horizon	alabama-birmingham	2010
2	Sat, Nov 14, 2009	REG	@	Kent State	MAC	L	65	72		1	1	L 1	Memorial Athletic & Convocation Center	ces/mac	alabama-birmingham	2010
3	Sun, Nov 15, 2009	REG	N	Samford	Southern	W	55	52		2	1	W 1	Memorial Athletic & Convocation Center	ces/southern	alabama-birmingham	2010
4	Tue, Nov 17, 2009	REG	@	Jacksonville State	OVC	W	87	62		3	1	W 2	Pete Mathews Coliseum	ces/ovc	alabama-birmingham	2010
5	Sat, Nov 21, 2009	REG		Georgia	SEC	W	72	56		4	1	W 3	Bartow Arena	ces/sec	alabama-birmingham	2010
6	Tue, Nov 24, 2009	REG		Troy	Sun Belt	W	77	59		5	1	W 4	Bartow Arena	ces/sun-belt	alabama-birmingham	2010
7	Sat, Nov 28, 2009	REG		Florida A&M	MEAC	W	90	59		6	1	W 5	Bartow Arena	ces/meac	alabama-birmingham	2010
8	Wed, Dec 2, 2009	REG		Middle Tennessee	Sun Belt	W	65	64		7	1	W 6	Bartow Arena	ces/sun-belt	alabama-birmingham	2010
9	Fri, Dec 4, 2009	REG		East Tennessee State	A-Sun	W	74	52		8	1	W 7	Bartow Arena	ces/atlantic-sun	alabama-birmingham	2010
10	Wed, Dec 16, 2009	REG		Cincinnati (25)	Big East	W	64	47		9	1	W 8	Bartow Arena	ces/big-east	alabama-birmingham	2010
11	Sat, Dec 19, 2009	REG	@	South Alabama	Sun Belt	W	72	54		10	1	W 9	Mitchell Center	ces/sun-belt	alabama-birmingham	2010
12	Tue, Dec 22, 2009	REG		Butler (20)	Horizon	W	67	57		11	1	W 10	Bartow Arena	ces/horizon	alabama-birmingham	2010
13	Wed, Dec 30, 2009	REG	@	Virginia	ACC	L	63	72		11	2	L 1	John Paul Jones Arena	ces/acc	alabama-birmingham	2010
14	Sat, Jan 2, 2010	REG	@	Arkansas	SEC	W	73	72		12	2	W 1	Bud Walton Arena	ces/sec	alabama-birmingham	2010
15	Wed, Jan 6, 2010	REG		East Carolina	CUSA	W	76	68		13	2	W 2	Bartow Arena	ces/cusa	alabama-birmingham	2010
16	Sat, Jan 9, 2010	REG	@	Tulane	CUSA	W	58	49		14	2	W 3	Avron B. Fogelman Arena	ces/cusa	alabama-birmingham	2010
17	Sat, Jan 16, 2010	REG	@	Southern Methodist	CUSA	W	63	62		15	2	W 4	Moody Coliseum	ces/cusa	alabama-birmingham	2010
18	Wed, Jan 20, 2010	REG		Southern Mississippi	CUSA	W	57	56		16	2	W 5	Bartow Arena	ces/cusa	alabama-birmingham	2010
19	Sat, Jan 23, 2010	REG	@	Marshall	CUSA	W	61	59		17	2	W 6	Henderson Center	ces/cusa	alabama-birmingham	2010
20	Tue, Jan 26, 2010	REG		Tulsa	CUSA	W	65	55		18	2	W 7	Bartow Arena	ces/cusa	alabama-birmingham	2010
21	Sat, Jan 30, 2010	REG		Texas-El Paso	CUSA	L	65	74	2OT	18	3	L 1	Bartow Arena	ces/cusa	alabama-birmingham	2010
22	Wed, Feb 3, 2010	REG	@	Memphis	CUSA	L	75	85		18	4	L 2	FedExForum	ces/cusa	alabama-birmingham	2010
23	Sat, Feb 6, 2010	REG	@	Rice	CUSA	W	76	65		19	4	W 1	Tudor Fieldhouse	ces/cusa	alabama-birmingham	2010
24	Sat, Feb 13, 2010	REG		Marshall	CUSA	L	74	81		19	5	L 1	Bartow Arena	ces/cusa	alabama-birmingham	2010
25	Wed, Feb 17, 2010	REG	@	Southern Mississippi	CUSA	W	59	54		20	5	W 1	Reed Green Coliseum	ces/cusa	alabama-birmingham	2010
26	Sat, Feb 20, 2010	REG		Houston	CUSA	W	75	66		21	5	W 2	Bartow Arena	ces/cusa	alabama-birmingham	2010
27	Wed, Feb 24, 2010	REG	@	Central Florida	CUSA	W	53	49		22	5	W 3	New UCF Arena	ces/cusa	alabama-birmingham	2010
28	Sat, Feb 27, 2010	REG		Tulane	CUSA	W	76	55		23	5	W 4	Bartow Arena	ces/cusa	alabama-birmingham	2010
29	Wed, Mar 3, 2010	REG		Memphis	CUSA	L	65	70		23	6	L 1	Bartow Arena	ces/cusa	alabama-birmingham	2010
30	Sat, Mar 6, 2010	REG	@	Texas-El Paso (24)	CUSA	L	50	52		23	7	L 2	Don Haskins Center	ces/cusa	alabama-birmingham	2010
31	Thu, Mar 11, 2010	CTOURN	N	Southern Mississippi	CUSA	L	44	58		23	8	L 3	Donald W. Reynolds Center	ces/cusa	alabama-birmingham	2010
32	Tue, Mar 16, 2010	NIT		Coastal Carolina	Big South	W	65	49		24	8	W 1	Bartow Arena	ces/big-south	alabama-birmingham	2010
33	Sat, Mar 20, 2010	NIT		North Carolina State	ACC	W	72	52		25	8	W 2	Bartow Arena	ces/acc	alabama-birmingham	2010
34	Tue, Mar 23, 2010	NIT		North Carolina	ACC	L	55	60		25	9	L 1	Bartow Arena	ces/acc	alabama-birmingham	2010
1	Mon, Nov 16, 2009	REG	@	Mississippi	SEC	L	53	90		0	1	L 1	C.M. Tad Smith Coliseum	ces/sec	alabama-state	2010
2	Sat, Nov 21, 2009	REG	@	Belmont	A-Sun	L	42	78		0	2	L 2	Curb Event Center	ces/atlantic-sun	alabama-state	2010
3	Tue, Nov 24, 2009	REG		Columbus State		W	64	58		1	2	W 1	ASU Acadome	NA	alabama-state	2010
4	Mon, Nov 30, 2009	REG	@	Tulane	CUSA	L	55	82		1	3	L 1	Avron B. Fogelman Arena	ces/cusa	alabama-state	2010
5	Wed, Dec 2, 2009	REG	@	DePaul	Big East	L	50	58		1	4	L 2	Allstate Arena	ces/big-east	alabama-state	2010
6	Fri, Dec 4, 2009	REG	@	Evansville	MVC	L	57	61		1	5	L 3	Roberts Stadium	ces/mvc	alabama-state	2010
7	Sat, Dec 12, 2009	REG	@	Southern Illinois	MVC	L	63	82		1	6	L 4	The SIU Arena	ces/mvc	alabama-state	2010
8	Wed, Dec 16, 2009	REG	@	Arkansas	SEC	L	51	76		1	7	L 5	Bud Walton Arena	ces/sec	alabama-state	2010
9	Sat, Dec 19, 2009	REG		Auburn Montgomery		W	79	66		2	7	W 1	ASU Acadome	NA	alabama-state	2010
10	Tue, Dec 22, 2009	REG	@	Auburn	SEC	L	78	94		2	8	L 1	Beard-Eaves-Memorial	ces/sec	alabama-state	2010
11	Mon, Dec 28, 2009	REG		West Alabama		W	62	59		3	8	W 1	ASU Acadome	NA	alabama-state	2010
12	Mon, Jan 4, 2010	REG	@	Grambling	SWAC	W	70	55		4	8	W 2	HPER Complex	ces/swac	alabama-state	2010
13	Wed, Jan 6, 2010	REG	@	Jackson State	SWAC	L	62	63		4	9	L 1	Lee E. Williams Athletics and Assembly Center	ces/swac	alabama-state	2010
14	Sat, Jan 9, 2010	REG		Mississippi Valley State	SWAC	L	73	76		4	10	L 2	ASU Acadome	ces/swac	alabama-state	2010
15	Mon, Jan 11, 2010	REG		Arkansas-Pine Bluff	SWAC	W	75	73	OT	5	10	W 1	ASU Acadome	ces/swac	alabama-state	2010
16	Sat, Jan 16, 2010	REG		Alabama A&M	SWAC	W	83	69		6	10	W 2	ASU Acadome	ces/swac	alabama-state	2010
17	Sat, Jan 23, 2010	REG	@	Alcorn State	SWAC	W	69	62		7	10	W 3	Davey L. Whitney Complex	ces/swac	alabama-state	2010
18	Mon, Jan 25, 2010	REG	@	Southern	SWAC	W	77	60		8	10	W 4	F. G. Clark Activity Center	ces/swac	alabama-state	2010
19	Sat, Jan 30, 2010	REG		Texas Southern	SWAC	W	62	61		9	10	W 5	ASU Acadome	ces/swac	alabama-state	2010
20	Mon, Feb 1, 2010	REG		Prairie View	SWAC	L	55	56		9	11	L 1	ASU Acadome	ces/swac	alabama-state	2010
21	Sat, Feb 6, 2010	REG	@	Mississippi Valley State	SWAC	L	71	82		9	12	L 2	Harrison HPER Complex	ces/swac	alabama-state	2010
22	Mon, Feb 8, 2010	REG	@	Arkansas-Pine Bluff	SWAC	L	42	47		9	13	L 3	K.L. Johnson HPER Complex	ces/swac	alabama-state	2010
23	Sat, Feb 13, 2010	REG	@	Alabama A&M	SWAC	W	80	76		10	13	W 1	Elmore Health Science Building 	ces/swac	alabama-state	2010
24	Sat, Feb 20, 2010	REG		Alcorn State	SWAC	W	91	64		11	13	W 2	ASU Acadome	ces/swac	alabama-state	2010
25	Mon, Feb 22, 2010	REG		Southern	SWAC	W	73	64		12	13	W 3	ASU Acadome	ces/swac	alabama-state	2010
26	Sat, Feb 27, 2010	REG	@	Texas Southern	SWAC	W	69	61		13	13	W 4	Health & Physical Education Arena	ces/swac	alabama-state	2010
27	Mon, Mar 1, 2010	REG	@	Prairie View	SWAC	W	52	43		14	13	W 5	William J. Nicks Building	ces/swac	alabama-state	2010
28	Thu, Mar 4, 2010	REG		Grambling	SWAC	W	81	76		15	13	W 6	ASU Acadome	ces/swac	alabama-state	2010
29	Sat, Mar 6, 2010	REG		Jackson State	SWAC	L	59	60		15	14	L 1	ASU Acadome	ces/swac	alabama-state	2010
30	Thu, Mar 11, 2010	CTOURN	N	Alabama A&M	SWAC	W	56	45		16	14	W 1	CenturyTel Center	ces/swac	alabama-state	2010
31	Fri, Mar 12, 2010	CTOURN	N	Arkansas-Pine Bluff	SWAC	L	44	46		16	15	L 1	CenturyTel Center	ces/swac	alabama-state	2010
1	Mon, Nov 9, 2009	REG	@	Syracuse	Big East	L	43	75		0	1	L 1	Carrier Dome	ces/big-east	albany-ny	2010
2	Fri, Nov 13, 2009	REG		Morgan State	MEAC	L	65	69		0	2	L 2	SEFCU Arena	ces/meac	albany-ny	2010
3	Mon, Nov 16, 2009	REG	@	American	Patriot	W	51	50		1	2	W 1	Bender Arena	ces/patriot	albany-ny	2010
4	Fri, Nov 20, 2009	REG		Alcorn State	SWAC	W	71	55		2	2	W 2	SEFCU Arena	ces/swac	albany-ny	2010
5	Sat, Nov 21, 2009	REG		Detroit Mercy	Horizon	L	54	66		2	3	L 1	SEFCU Arena	ces/horizon	albany-ny	2010
6	Sun, Nov 22, 2009	REG		Robert Morris	NEC	W	71	66		3	3	W 1	SEFCU Arena	ces/northeast	albany-ny	2010
7	Sat, Nov 28, 2009	REG	@	Central Florida	CUSA	L	72	76		3	4	L 1	New UCF Arena	ces/cusa	albany-ny	2010
